Group,sentence,picture,label
A,Most of these six circles  are the same color as the square they are connected to.,item1.png,most_ER_1_num
A,Most of these six circles  are the same color as the square they are connected to.,item2.png,most_ES_1_num
A,Most of these six circles  are the same color as the square they are connected to.,item3.png,most_U_1_num
A,Most of these six circles  are the same color as the square they are connected to.,item4.png,most_X_1_num
A,Most of these five triangles  are the same color as the circle they are connected to.,item5.png,most_ER_2_num
A,Most of these five triangles  are the same color as the circle they are connected to.,item6.png,most_ES_2_num
A,Most of these five triangles  are the same color as the circle they are connected to.,item7.png,most_U_2_num
A,Most of these five triangles  are the same color as the circle they are connected to.,item8.png,most_X_2_num
A,Most of these seven squares are the same color as the circle they are connected to.,item9.png,most_ER_3_num
A,Most of these seven squares are the same color as the circle they are connected to.,item10.png,most_ES_3_num
A,Most of these seven squares are the same color as the circle they are connected to.,item11.png,most_U_3_num
A,Most of these seven squares are the same color as the circle they are connected to.,item12.png,most_X_3_num
A,Each of these four circles is the same color as the square it is connected to.,item13.png,each_ER_1_num
A,Each of these four circles is the same color as the square it is connected to.,item14.png,each_ES_1_num
A,Each of these four circles is the same color as the square it is connected to.,item15.png,each_U_1_num
A,Each of these four circles is the same color as the square it is connected to.,item16.png,each_X_1_num
A,Each of these six triangles is the same color as the square it is connected to.,item17.png,each_ER_2_num
A,Each of these six triangles is the same color as the square it is connected to.,item18.png,each_ES_2_num
A,Each of these six triangles is the same color as the square it is connected to.,item19.png,each_U_2_num
A,Each of these six triangles is the same color as the square it is connected to.,item20.png,each_X_2_num
A,Each of these five circles is the same color as the square it is connected to.,item21.png,each_ER_3_num
A,Each of these five circles is the same color as the square it is connected to.,item22.png,each_ES_3_num
A,Each of these five circles is the same color as the square it is connected to.,item23.png,each_U_3_num
A,Each of these five circles is the same color as the square it is connected to.,item24.png,each_X_3_num
A,Some of these six circles are the same color as the square they are connected to.,item25.png,some_ER_1_num
A,Some of these six circles are the same color as the square they are connected to.,item26.png,some_ES_1_num
A,Some of these six circles are the same color as the square they are connected to.,item27.png,some_U_1_num
A,Some of these six circles are the same color as the square they are connected to.,item28.png,some_X_1_num
A,Some of these five squares are the same color as the triangle they are connected to.,item29.png,some_ER_2_num
A,Some of these five squares are the same color as the triangle they are connected to.,item30.png,some_ES_2_num
A,Some of these five squares are the same color as the triangle they are connected to.,item31.png,some_U_2_num
A,Some of these five squares are the same color as the triangle they are connected to.,item32.png,some_X_2_num
A,Some of these four circles are the same color as the triangle they are connect to.,item33.png,some_ER_3_num
A,Some of these four circles are the same color as the triangle they are connect to.,item34.png,some_ES_3_num
A,Some of these four circles are the same color as the triangle they are connect to.,item35.png,some_U_3_num
A,Some of these four circles are the same color as the triangle they are connect to.,item36.png,some_X_3_num
A,At least two of these six squares are the same color as the triangle they are connected to.,item37.png,at_ER_1_num
A,At least two of these six squares are the same color as the triangle they are connected to.,item38.png,at_ES_1_num
A,At least two of these six squares are the same color as the triangle they are connected to.,item39.png,at_U_1_num
A,At least two of these six squares are the same color as the triangle they are connected to.,item40.png,at_X_1_num
A,At least two of these five circles are the same color as the square they are connected to.,item41.png,at_ER_2_num
A,At least two of these five circles are the same color as the square they are connected to.,item42.png,at_ES_2_num
A,At least two of these five circles are the same color as the square they are connected to.,item43.png,at_U_2_num
A,At least two of these five circles are the same color as the square they are connected to.,item44.png,at_X_2_num
A,At least two of these six triangles are the same color as the circle they are connected to.,item45.png,at_ER_3_num
A,At least two of these six triangles are the same color as the circle they are connected to.,item46.png,at_ES_3_num
A,At least two of these six triangles are the same color as the circle they are connected to.,item47.png,at_U_3_num
A,At least two of these six triangles are the same color as the circle they are connected to.,item48.png,at_X_3_num
B,Most of these six circles  are the same color as the square they are connected to.,item1.png,most_ER_1
B,Most of these six circles  are the same color as the square they are connected to.,item2.png,most_ES_1
B,Most of these six circles  are the same color as the square they are connected to.,item3.png,most_U_1
B,Most of these six circles  are the same color as the square they are connected to.,item4.png,most_X_1
B,Most of these five triangles  are the same color as the circle they are connected to.,item5.png,most_ER_2
B,Most of these five triangles  are the same color as the circle they are connected to.,item6.png,most_ES_2
B,Most of these five triangles  are the same color as the circle they are connected to.,item7.png,most_U_2
B,Most of these five triangles  are the same color as the circle they are connected to.,item8.png,most_X_2
B,Most of these seven squares are the same color as the circle they are connected to.,item9.png,most_ER_3
B,Most of these seven squares are the same color as the circle they are connected to.,item10.png,most_ES_3
B,Most of these seven squares are the same color as the circle they are connected to.,item11.png,most_U_3
B,Most of these seven squares are the same color as the circle they are connected to.,item12.png,most_X_3
B,Each of these four circles is the same color as the square it is connected to.,item13.png,each_ER_1
B,Each of these four circles is the same color as the square it is connected to.,item14.png,each_ES_1
B,Each of these four circles is the same color as the square it is connected to.,item15.png,each_U_1
B,Each of these four circles is the same color as the square it is connected to.,item16.png,each_X_1
B,Each of these six triangles is the same color as the square it is connected to.,item17.png,each_ER_2
B,Each of these six triangles is the same color as the square it is connected to.,item18.png,each_ES_2
B,Each of these six triangles is the same color as the square it is connected to.,item19.png,each_U_2
B,Each of these six triangles is the same color as the square it is connected to.,item20.png,each_X_2
B,Each of these five circles is the same color as the square it is connected to.,item21.png,each_ER_3
B,Each of these five circles is the same color as the square it is connected to.,item22.png,each_ES_3
B,Each of these five circles is the same color as the square it is connected to.,item23.png,each_U_3
B,Each of these five circles is the same color as the square it is connected to.,item24.png,each_X_3
B,Some of these six circles are the same color as the square they are connected to.,item25.png,some_ER_1
B,Some of these six circles are the same color as the square they are connected to.,item26.png,some_ES_1
B,Some of these six circles are the same color as the square they are connected to.,item27.png,some_U_1
B,Some of these six circles are the same color as the square they are connected to.,item28.png,some_X_1
B,Some of these five squares are the same color as the triangle they are connected to.,item29.png,some_ER_2
B,Some of these five squares are the same color as the triangle they are connected to.,item30.png,some_ES_2
B,Some of these five squares are the same color as the triangle they are connected to.,item31.png,some_U_2
B,Some of these five squares are the same color as the triangle they are connected to.,item32.png,some_X_2
B,Some of these four circles are the same color as the triangle they are connect to.,item33.png,some_ER_3
B,Some of these four circles are the same color as the triangle they are connect to.,item34.png,some_ES_3
B,Some of these four circles are the same color as the triangle they are connect to.,item35.png,some_U_3
B,Some of these four circles are the same color as the triangle they are connect to.,item36.png,some_X_3
B,At least two of these six squares are the same color as the triangle they are connected to.,item37.png,at_ER_1
B,At least two of these six squares are the same color as the triangle they are connected to.,item38.png,at_ES_1
B,At least two of these six squares are the same color as the triangle they are connected to.,item39.png,at_U_1
B,At least two of these six squares are the same color as the triangle they are connected to.,item40.png,at_X_1
B,At least two of these five circles are the same color as the square they are connected to.,item41.png,at_ER_2
B,At least two of these five circles are the same color as the square they are connected to.,item42.png,at_ES_2
B,At least two of these five circles are the same color as the square they are connected to.,item43.png,at_U_2
B,At least two of these five circles are the same color as the square they are connected to.,item44.png,at_X_2
B,At least two of these six triangles are the same color as the circle they are connected to.,item45.png,at_ER_3
B,At least two of these six triangles are the same color as the circle they are connected to.,item46.png,at_ES_3
B,At least two of these six triangles are the same color as the circle they are connected to.,item47.png,at_U_3
B,At least two of these six triangles are the same color as the circle they are connected to.,item48.png,at_X_3
